o_zone_id,d_zone_id,volume
1,2,112.5842476558255
1,3,114.50946496619892
1,4,509.1006550883878
1,5,246.63393403477892
1,6,349.1894107673869
1,7,620.2724480923365
1,8,787.1253570261867
1,9,494.8524418142341
1,10,1757.010777493543
1,11,616.8532845722671
1,12,202.77941873239905
1,13,599.8823420167196
1,14,314.9806575109012
1,15,464.07553300972046
1,16,445.8101647626244
1,17,439.0335541600785
1,18,128.58118329656796
1,19,384.2262086184211
1,20,374.31854142731316
1,21,119.51973168541183
1,22,454.18799260143186
1,23,370.29095570903627
1,24,89.9623932776463
2,1,98.33498360182818
2,3,117.92697556423954
2,4,241.41093720635695
2,5,103.49357393917767
2,6,469.3712452352159
2,7,232.73971819067825
2,8,426.5416425226656
2,9,223.41089006769727
2,10,812.6725328813061
2,11,213.89189921683246
2,12,107.31529318134241
2,13,334.9875506008749
2,14,108.00581045360536
2,15,119.04845624913273
2,16,509.63721163520785
2,17,214.63967081154286
2,19,134.0176034152774
2,20,111.32583073363209
2,22,132.51658117790316
3,1,143.30556547468126
3,2,99.16515530272397
3,4,209.43243436417242
3,5,104.41733911631934
3,6,334.08243458768106
3,7,104.74098524932205
3,8,195.32649390075827
3,9,100.78974490885027
3,10,320.4471441721829
3,11,370.00728681339496
3,12,207.70037307213119
3,13,119.28041476608605
3,14,96.38518174073884
3,15,79.88519949902054
3,16,217.0895707091719
3,17,103.49046601301616
3,22,100.56524903518168
3,23,96.02375709900895
4,1,703.4713785832106
4,2,218.6129615053907
4,3,256.23161742024024
4,5,542.1217582248988
4,6,453.70254193198144
4,7,469.0839694345705
4,8,679.7489708886067
4,9,741.3056550102602
4,10,1360.850555540044
4,11,1269.2546551963642
4,12,751.426700700121
4,13,734.0048063800157
4,14,445.74214748723324
4,15,503.71882762968045
4,16,889.2753180220409
4,17,598.3061079747428
4,18,128.13611347051994
4,19,206.41597090527375
4,20,416.92640609595423
4,21,218.9299058352845
4,22,430.24806456627243
4,23,581.7790599734911
4,24,226.94475050739788
5,1,268.60547316327956
5,2,112.75501165350403
5,3,99.68876053740377
5,4,505.69958612291884
5,6,235.57055418886654
5,7,188.29175538500738
5,8,468.4201994699627
5,9,882.2075648221851
5,10,1169.9476652844842
5,11,513.9435907868864
5,12,185.97467739798736
5,13,196.58804023189856
5,14,129.67813237450775
5,15,231.20957436534985
5,16,607.8489931353331
5,17,247.18248712638288
5,19,105.97220743923347
5,20,108.16737837945082
5,21,114.68036793440383
5,22,245.32356941664008
5,23,132.61742919822083
6,1,400.11649536813144
6,2,431.0692933730525
6,3,371.6650149179835
6,4,466.19452279909996
6,5,233.95358744117695
6,7,382.73830011909297
6,8,910.8746925061107
6,9,455.63091603550174
6,10,830.7904526086717
6,11,435.7641876046039
6,12,201.42924949429803
6,13,201.60018352481376
6,14,104.8346161857339
6,15,192.6324023273778
6,16,933.8885703578491
6,17,590.6902325790005
6,18,127.24217463222877
6,19,270.7433508976794
6,20,317.05628610620005
6,21,124.02597856129292
6,22,227.52154542655163
6,23,107.41984675058454
6,24,114.5144106399756
7,1,523.2650747533602
7,2,208.82477674250504
7,3,105.58352678026883
7,4,413.26842535014174
7,5,248.02158975296186
7,6,407.6421908441945
7,8,1134.7705704925986
7,9,675.3779197700042
7,10,2006.0729640947318
7,11,650.8507883240975
7,12,722.940507804413
7,13,432.53624710054726
7,14,181.4449845830177
7,15,533.478360132177
7,16,1349.1661844954804
7,17,1003.6904675258891
7,18,180.91758274054348
7,19,402.43125783691045
7,20,545.8870882154159
7,21,214.69305763882699
7,22,527.6541627827437
7,23,212.9669887713148
7,24,104.58303242173342
8,1,870.3533408835451
8,2,452.2670297290544
8,3,215.62295879997131
8,4,737.3218837548363
