from_node_id,to_node_id,time,inflow,outflow,cinflow,coutflow,volume
1,2,0,0.0,0.0,0.0,0.0,0.0
1,2,1,2600.0,0.0,2600.0,0.0,2600.0
1,2,2,0.0,0.0,2600.0,0.0,2600.0
1,2,3,0.0,0.0,2600.0,0.0,2600.0
1,2,4,0.0,0.0,2600.0,0.0,2600.0
1,2,5,283.53073,0.0,2883.5308,0.0,2883.5308
1,2,6,0.0,0.0,2883.5308,0.0,2883.5308
1,2,7,0.0,2600.0,2883.5308,2600.0,283.53076
1,2,8,0.0,0.0,2883.5308,2600.0,283.53076
1,2,9,885.88043,0.0,3769.4111,2600.0,1169.4111
1,2,10,0.0,0.0,3769.4111,2600.0,1169.4111
1,2,11,7.783942,283.53073,3777.195,2883.5308,893.6643
1,2,12,381.7983,0.0,4158.993,2883.5308,1275.4624
1,2,13,0.0,0.0,4158.993,2883.5308,1275.4624
1,2,14,0.0,0.0,4158.993,2883.5308,1275.4624
1,2,15,162.60541,889.9031,4321.5986,3773.4338,548.1648
1,2,16,96.843544,0.0,4418.4424,3773.4338,645.00854
1,2,17,0.0,0.0,4418.4424,3773.4338,645.00854
1,2,18,0.0,419.72528,4418.4424,4193.159,225.2832
1,2,19,108.479225,0.0,4526.9214,4193.159,333.7622
1,2,20,0.0,0.0,4526.9214,4193.159,333.7622
1,2,21,0.0,179.6135,4526.9214,4372.7725,154.14893
1,2,22,0.0,0.0,4526.9214,4372.7725,154.14893
1,2,23,0.0,0.0,4526.9214,4372.7725,154.14893
1,2,24,0.0,0.0,4526.9214,4372.7725,154.14893
1,2,25,0.0,94.643845,4526.9214,4467.4165,59.504883
1,2,26,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,27,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,28,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,29,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,30,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,31,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,32,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,33,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,34,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,35,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,36,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,37,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,38,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,39,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,40,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,41,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,42,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,43,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,44,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,45,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,46,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,47,0.0,0.0,4526.9214,4467.4165,59.504883
1,2,48,0.0,0.0,4526.9214,4467.4165,59.504883
1,3,0,0.0,0.0,0.0,0.0,0.0
1,3,1,6200.0,0.0,6200.0,0.0,6200.0
1,3,2,0.0,0.0,6200.0,0.0,6200.0
1,3,3,0.0,0.0,6200.0,0.0,6200.0
1,3,4,0.0,0.0,6200.0,0.0,6200.0
1,3,5,0.0,6200.0,6200.0,6200.0,0.0
1,3,6,0.0,0.0,6200.0,6200.0,0.0
1,3,7,1249.2727,0.0,7449.2725,6200.0,1249.2725
1,3,8,0.0,0.0,7449.2725,6200.0,1249.2725
1,3,9,0.0,0.0,7449.2725,6200.0,1249.2725
1,3,10,0.0,0.0,7449.2725,6200.0,1249.2725
1,3,11,0.0,1249.2727,7449.2725,7449.2725,0.0
1,3,12,96.601875,0.0,7545.8745,7449.2725,96.60205
1,3,13,0.0,0.0,7545.8745,7449.2725,96.60205
1,3,14,131.44559,0.0,7677.3203,7449.2725,228.04785
1,3,15,0.0,0.0,7677.3203,7449.2725,228.04785
1,3,16,0.0,27.174618,7677.3203,7476.4473,200.87305
1,3,17,40.267494,0.0,7717.588,7476.4473,241.14062
1,3,18,0.0,24.542904,7717.588,7500.99,216.59766
1,3,19,9.83683,0.0,7727.425,7500.99,226.43457
1,3,20,0.0,0.0,7727.425,7500.99,226.43457
1,3,21,0.0,12.988979,7727.425,7513.979,213.4458
1,3,22,0.0,0.0,7727.425,7513.979,213.4458
1,3,23,0.0,43.555824,7727.425,7557.5347,169.89014
1,3,24,0.0,0.0,7727.425,7557.5347,169.89014
1,3,25,0.0,0.0,7727.425,7557.5347,169.89014
1,3,26,0.0,0.0,7727.425,7557.5347,169.89014
1,3,27,0.0,0.0,7727.425,7557.5347,169.89014
1,3,28,0.0,0.0,7727.425,7557.5347,169.89014
1,3,29,0.0,0.0,7727.425,7557.5347,169.89014
1,3,30,0.0,0.0,7727.425,7557.5347,169.89014
1,3,31,0.0,0.0,7727.425,7557.5347,169.89014
1,3,32,0.0,0.0,7727.425,7557.5347,169.89014
1,3,33,0.0,0.0,7727.425,7557.5347,169.89014
1,3,34,0.0,0.0,7727.425,7557.5347,169.89014
1,3,35,0.0,0.0,7727.425,7557.5347,169.89014
1,3,36,0.0,0.0,7727.425,7557.5347,169.89014
1,3,37,0.0,0.0,7727.425,7557.5347,169.89014
